TFs,DC-score,Rank-DiffCo,Copula-score,inter_Num,Rank-copula,DC-normalized,copula-normalized,Rank
YBX1,1.7048065231449088,29,1.0,7,1,1.0,0.0,1
STAT4,1.288255278136872,28,1.0,1,1,0.6787482115024168,0.0,2
SOX4,1.2562387556378376,27,1.0,7,1,0.654056495326921,0.0,3
GATA3,1.1812411069370223,26,1.0,1,1,0.5962169640159882,0.0,4
IKZF3,1.0977798135039707,25,1.0,3,1,0.5318501181428662,0.0,5
HMGA1,1.085524386077292,24,1.0,17,1,0.52239851278385,0.0,6
REL,0.9972074224675328,23,1.0,126,1,0.454286887013139,0.0,7
MAF,0.9886115866049934,22,1.0,27,1,0.44765762428120515,0.0,8
BATF,0.9201934473526348,21,1.0,97,1,0.3948923286209488,0.0,9
NFATC2,0.8844735368211246,20,1.0,10,1,0.36734449319676266,0.0,10
JUNB,0.8786040337571139,19,1.0,161,1,0.36281782719947553,0.0,11
HMGB2,0.8433023049401569,18,1.0,23,1,0.3355925010111327,0.0,12
STAT5A,0.8311784952156106,17,1.0,18,1,0.3262424015837747,0.0,13
IRF7,0.7907011073236448,16,1.0,94,1,0.2950255143223922,0.0,14
HMGB1,0.767720850189837,15,1.0,23,1,0.27730272800776323,0.0,15
BHLHE40,0.7102383816150034,14,1.0,71,1,0.23297121763965678,0.0,16
PRDM1,0.6642494582816995,13,1.0,66,1,0.19750373542959387,0.0,17
TGIF1,0.6338688463247166,12,1.0,38,1,0.17407366279436864,0.0,18
ATF4,0.6329798543857194,11,1.0,34,1,0.17338805627227727,0.0,19
CREM,0.623778848928558,10,1.0,170,1,0.166292075898885,0.0,20
NFKB1,0.6059815698736388,9,1.0,119,1,0.15256649520431037,0.0,21
STAT3,0.5847803706761212,8,1.0,201,1,0.1362157502668786,0.0,22
FOSL2,0.5820952197957899,7,1.0,170,1,0.13414491376589627,0.0,23
FOS,0.5514374265763592,6,1.0,163,1,0.11050107397148834,0.0,24
FOXP1,0.5480158910511677,5,1.0,48,1,0.10786232442974925,0.0,25
JUND,0.5026114519404341,4,1.0,175,1,0.07284560693135034,0.0,26
XBP1,0.4942590200514214,3,1.0,73,1,0.06640406170779017,0.0,27
NFKB2,0.4526283485377719,2,1.0,112,1,0.03429774144014275,0.0,28
JUN,0.4081561699868883,1,1.0,150,1,0.0,0.0,29
